snapshot_row_id,family,start_seconds,start_utc,end_seconds,end_utc,read_seconds,read_utc,write_seconds,write_utc,hfStart_seconds,hfStart_utc,hfEnd_seconds,hfEnd_utc,observedStop,hf_before_read,read_to_hf_hours
0,HPIM,171056.266,2026-07-07T23:30:56.266000+00:00,258678.0,2026-07-08T23:51:18+00:00,257395.68,2026-07-08T23:29:55.680000+00:00,257551.372,2026-07-08T23:32:31.372000+00:00,,,,,False,False,
1,HPIM,164020.038,2026-07-07T21:33:40.038000+00:00,264422.565,2026-07-09T01:27:02.565000+00:00,259359.0,2026-07-09T00:02:39+00:00,259491.911,2026-07-09T00:04:51.911000+00:00,,,,,False,False,
2,HPIM,164025.612,2026-07-07T21:33:45.612000+00:00,265038.909,2026-07-09T01:37:18.909000+00:00,258785.511,2026-07-08T23:53:05.511000+00:00,258937.652,2026-07-08T23:55:37.652000+00:00,,,,,False,False,
3,HPIM,167575.738,2026-07-07T22:32:55.738000+00:00,265117.0,2026-07-09T01:38:37+00:00,258695.171,2026-07-08T23:51:35.171000+00:00,258808.629,2026-07-08T23:53:28.629000+00:00,,,,,False,False,
4,HPIM,163852.508,2026-07-07T21:30:52.508000+00:00,265162.078,2026-07-09T01:39:22.078000+00:00,258020.99,2026-07-08T23:40:20.990000+00:00,258596.094,2026-07-08T23:49:56.094000+00:00,,,,,False,False,
5,HPIM,163969.381,2026-07-07T21:32:49.381000+00:00,265615.028,2026-07-09T01:46:55.028000+00:00,260712.181,2026-07-09T00:25:12.181000+00:00,260807.863,2026-07-09T00:26:47.863000+00:00,,,,,False,False,
6,HPIM,163827.871,2026-07-07T21:30:27.871000+00:00,265930.0,2026-07-09T01:52:10+00:00,256138.636,2026-07-08T23:08:58.636000+00:00,258621.423,2026-07-08T23:50:21.423000+00:00,,,,,False,False,
7,HPIM,165150.653,2026-07-07T21:52:30.653000+00:00,265968.859,2026-07-09T01:52:48.859000+00:00,262009.895,2026-07-09T00:46:49.895000+00:00,262083.107,2026-07-09T00:48:03.107000+00:00,,,,,False,False,
8,HPIM,163756.352,2026-07-07T21:29:16.352000+00:00,266079.0,2026-07-09T01:54:39+00:00,258558.057,2026-07-08T23:49:18.057000+00:00,258608.421,2026-07-08T23:50:08.421000+00:00,,,,,False,False,
9,HPIM,163768.572,2026-07-07T21:29:28.572000+00:00,266869.0,2026-07-09T02:07:49+00:00,256263.142,2026-07-08T23:11:03.142000+00:00,259803.619,2026-07-09T00:10:03.619000+00:00,,,,,False,False,
10,HPIM,164013.422,2026-07-07T21:33:33.422000+00:00,267060.0,2026-07-09T02:11:00+00:00,257914.555,2026-07-08T23:38:34.555000+00:00,258738.639,2026-07-08T23:52:18.639000+00:00,,,,,False,False,
11,HPIM,164072.068,2026-07-07T21:34:32.068000+00:00,267867.264,2026-07-09T02:24:27.264000+00:00,263479.939,2026-07-09T01:11:19.939000+00:00,263866.576,2026-07-09T01:17:46.576000+00:00,,,,,False,False,
12,HPIM,166451.911,2026-07-07T22:14:11.911000+00:00,268100.0,2026-07-09T02:28:20+00:00,255815.521,2026-07-08T23:03:35.521000+00:00,258561.134,2026-07-08T23:49:21.134000+00:00,,,,,False,False,
13,HPIM,175113.952,2026-07-08T00:38:33.952000+00:00,268234.913,2026-07-09T02:30:34.913000+00:00,255801.917,2026-07-08T23:03:21.917000+00:00,258621.341,2026-07-08T23:50:21.341000+00:00,,,,,False,False,
14,HPIM,164046.755,2026-07-07T21:34:06.755000+00:00,268712.324,2026-07-09T02:38:32.324000+00:00,257988.463,2026-07-08T23:39:48.463000+00:00,258476.937,2026-07-08T23:47:56.937000+00:00,,,,,False,False,
15,HPIM,166091.823,2026-07-07T22:08:11.823000+00:00,268746.712,2026-07-09T02:39:06.712000+00:00,264102.0,2026-07-09T01:21:42+00:00,264277.952,2026-07-09T01:24:37.952000+00:00,,,,,False,False,
16,HPIM,163819.661,2026-07-07T21:30:19.661000+00:00,268763.0,2026-07-09T02:39:23+00:00,258029.642,2026-07-08T23:40:29.642000+00:00,258160.133,2026-07-08T23:42:40.133000+00:00,,,,,False,False,
17,HPIM,169681.864,2026-07-07T23:08:01.864000+00:00,268847.0,2026-07-09T02:40:47+00:00,267517.382,2026-07-09T02:18:37.382000+00:00,267717.974,2026-07-09T02:21:57.974000+00:00,,,,,False,False,
18,HPIM,170081.167,2026-07-07T23:14:41.167000+00:00,268851.115,2026-07-09T02:40:51.115000+00:00,256018.727,2026-07-08T23:06:58.727000+00:00,266355.772,2026-07-09T01:59:15.772000+00:00,,,,,False,False,
19,HPIM,164083.349,2026-07-07T21:34:43.349000+00:00,268893.0,2026-07-09T02:41:33+00:00,260115.233,2026-07-09T00:15:15.233000+00:00,260302.818,2026-07-09T00:18:22.818000+00:00,,,,,False,False,
20,HPIM,164482.637,2026-07-07T21:41:22.637000+00:00,269302.0,2026-07-09T02:48:22+00:00,263101.943,2026-07-09T01:05:01.943000+00:00,263233.245,2026-07-09T01:07:13.245000+00:00,,,,,False,False,
21,HPIM,171800.477,2026-07-07T23:43:20.477000+00:00,269458.0,2026-07-09T02:50:58+00:00,257296.572,2026-07-08T23:28:16.572000+00:00,257553.373,2026-07-08T23:32:33.373000+00:00,,,,,False,False,
22,HPIM,164267.702,2026-07-07T21:37:47.702000+00:00,269932.082,2026-07-09T02:58:52.082000+00:00,256859.7,2026-07-08T23:20:59.700000+00:00,256980.619,2026-07-08T23:23:00.619000+00:00,,,,,False,False,
23,HPIM,163785.19,2026-07-07T21:29:45.190000+00:00,270650.072,2026-07-09T03:10:50.072000+00:00,257300.913,2026-07-08T23:28:20.913000+00:00,257407.472,2026-07-08T23:30:07.472000+00:00,,,,,False,False,
