board_read_day_utc,horizon_hours,rows,onset_at_or_before_read,risk_rows,observed_onsets,followup_ends_before_horizon_without_onset,recorded_onset_lower_bound,recorded_onset_upper_bound
2026-07-08,1,27,0,27,0,1,0.0,0.037037037037037035
2026-07-08,6,27,0,27,0,18,0.0,0.6666666666666666
2026-07-08,24,27,0,27,6,19,0.2222222222222222,0.9259259259259259
2026-07-09,1,488,2,486,31,9,0.06378600823045268,0.0823045267489712
2026-07-09,6,488,2,486,74,80,0.1522633744855967,0.3168724279835391
2026-07-09,24,488,2,486,102,213,0.20987654320987653,0.6481481481481481
2026-07-10,1,146,0,146,2,7,0.0136986301369863,0.06164383561643835
2026-07-10,6,146,0,146,5,31,0.03424657534246575,0.2465753424657534
2026-07-10,24,146,0,146,39,55,0.2671232876712329,0.6438356164383562
2026-07-11,1,521,4,517,132,19,0.2553191489361702,0.29206963249516443
2026-07-11,6,521,4,517,294,116,0.5686653771760155,0.793036750483559
2026-07-11,24,521,4,517,356,153,0.688588007736944,0.9845261121856866
2026-07-12,1,19,6,13,10,2,0.7692307692307693,0.9230769230769231
2026-07-12,6,19,6,13,10,2,0.7692307692307693,0.9230769230769231
2026-07-12,24,19,6,13,10,3,0.7692307692307693,1.0
2026-07-13,1,5,3,2,0,0,0.0,0.0
2026-07-13,6,5,3,2,0,1,0.0,0.5
2026-07-13,24,5,3,2,0,2,0.0,1.0
