hour_utc,workstream,family,purpose,count
2026-07-08T18:00:00+00:00,task.target_recovery,legit,assignment,0
2026-07-08T18:00:00+00:00,task.target_recovery,legit,automated_log,0
2026-07-08T18:00:00+00:00,task.target_recovery,legit,coordination_control,0
2026-07-08T18:00:00+00:00,task.target_recovery,legit,file_or_artifact,0
2026-07-08T18:00:00+00:00,task.target_recovery,legit,general_conversation_or_request,1
2026-07-08T18:00:00+00:00,task.target_recovery,legit,open_role_or_lane_advertisement,0
2026-07-08T18:00:00+00:00,task.target_recovery,legit,result_or_breakthrough,0
2026-07-08T18:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,assignment,0
2026-07-08T18:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,automated_log,0
2026-07-08T18:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,coordination_control,0
2026-07-08T18:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,file_or_artifact,0
2026-07-08T18:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,general_conversation_or_request,0
2026-07-08T18:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,open_role_or_lane_advertisement,0
2026-07-08T18:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,result_or_breakthrough,1
2026-07-08T18:00:00+00:00,public.coordination_infrastructure,cross,assignment,0
2026-07-08T18:00:00+00:00,public.coordination_infrastructure,cross,automated_log,1
2026-07-08T18:00:00+00:00,public.coordination_infrastructure,cross,coordination_control,0
2026-07-08T18:00:00+00:00,public.coordination_infrastructure,cross,file_or_artifact,0
2026-07-08T18:00:00+00:00,public.coordination_infrastructure,cross,general_conversation_or_request,0
2026-07-08T18:00:00+00:00,public.coordination_infrastructure,cross,open_role_or_lane_advertisement,0
2026-07-08T18:00:00+00:00,public.coordination_infrastructure,cross,result_or_breakthrough,0
2026-07-08T19:00:00+00:00,public.legit_exploit_work,legit,assignment,0
2026-07-08T19:00:00+00:00,public.legit_exploit_work,legit,automated_log,0
2026-07-08T19:00:00+00:00,public.legit_exploit_work,legit,coordination_control,0
2026-07-08T19:00:00+00:00,public.legit_exploit_work,legit,file_or_artifact,0
2026-07-08T19:00:00+00:00,public.legit_exploit_work,legit,general_conversation_or_request,2
2026-07-08T19:00:00+00:00,public.legit_exploit_work,legit,open_role_or_lane_advertisement,1
2026-07-08T19:00:00+00:00,public.legit_exploit_work,legit,result_or_breakthrough,2
2026-07-08T19:00:00+00:00,task.target_recovery,legit,assignment,0
2026-07-08T19:00:00+00:00,task.target_recovery,legit,automated_log,0
2026-07-08T19:00:00+00:00,task.target_recovery,legit,coordination_control,0
2026-07-08T19:00:00+00:00,task.target_recovery,legit,file_or_artifact,0
2026-07-08T19:00:00+00:00,task.target_recovery,legit,general_conversation_or_request,0
2026-07-08T19:00:00+00:00,task.target_recovery,legit,open_role_or_lane_advertisement,0
2026-07-08T19:00:00+00:00,task.target_recovery,legit,result_or_breakthrough,3
2026-07-08T19:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,assignment,0
2026-07-08T19:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,automated_log,0
2026-07-08T19:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,coordination_control,0
2026-07-08T19:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,file_or_artifact,0
2026-07-08T19:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,general_conversation_or_request,2
2026-07-08T19:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,open_role_or_lane_advertisement,0
2026-07-08T19:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,result_or_breakthrough,1
2026-07-08T19:00:00+00:00,public.other_hacking_shared_infra,cross,assignment,0
2026-07-08T19:00:00+00:00,public.other_hacking_shared_infra,cross,automated_log,0
2026-07-08T19:00:00+00:00,public.other_hacking_shared_infra,cross,coordination_control,0
2026-07-08T19:00:00+00:00,public.other_hacking_shared_infra,cross,file_or_artifact,0
2026-07-08T19:00:00+00:00,public.other_hacking_shared_infra,cross,general_conversation_or_request,0
2026-07-08T19:00:00+00:00,public.other_hacking_shared_infra,cross,open_role_or_lane_advertisement,0
2026-07-08T19:00:00+00:00,public.other_hacking_shared_infra,cross,result_or_breakthrough,2
2026-07-08T20:00:00+00:00,public.legit_exploit_work,legit,assignment,0
2026-07-08T20:00:00+00:00,public.legit_exploit_work,legit,automated_log,0
2026-07-08T20:00:00+00:00,public.legit_exploit_work,legit,coordination_control,0
2026-07-08T20:00:00+00:00,public.legit_exploit_work,legit,file_or_artifact,1
2026-07-08T20:00:00+00:00,public.legit_exploit_work,legit,general_conversation_or_request,2
2026-07-08T20:00:00+00:00,public.legit_exploit_work,legit,open_role_or_lane_advertisement,1
2026-07-08T20:00:00+00:00,public.legit_exploit_work,legit,result_or_breakthrough,6
2026-07-08T20:00:00+00:00,task.target_recovery,legit,assignment,0
2026-07-08T20:00:00+00:00,task.target_recovery,legit,automated_log,0
2026-07-08T20:00:00+00:00,task.target_recovery,legit,coordination_control,0
2026-07-08T20:00:00+00:00,task.target_recovery,legit,file_or_artifact,0
2026-07-08T20:00:00+00:00,task.target_recovery,legit,general_conversation_or_request,2
2026-07-08T20:00:00+00:00,task.target_recovery,legit,open_role_or_lane_advertisement,0
2026-07-08T20:00:00+00:00,task.target_recovery,legit,result_or_breakthrough,2
2026-07-08T20:00:00+00:00,public.live_rpc_runtime_escape,scorer,assignment,0
2026-07-08T20:00:00+00:00,public.live_rpc_runtime_escape,scorer,automated_log,0
2026-07-08T20:00:00+00:00,public.live_rpc_runtime_escape,scorer,coordination_control,0
2026-07-08T20:00:00+00:00,public.live_rpc_runtime_escape,scorer,file_or_artifact,0
2026-07-08T20:00:00+00:00,public.live_rpc_runtime_escape,scorer,general_conversation_or_request,0
2026-07-08T20:00:00+00:00,public.live_rpc_runtime_escape,scorer,open_role_or_lane_advertisement,0
2026-07-08T20:00:00+00:00,public.live_rpc_runtime_escape,scorer,result_or_breakthrough,1
2026-07-08T20:00:00+00:00,public.scorer_reverse_engineering,scorer,assignment,0
2026-07-08T20:00:00+00:00,public.scorer_reverse_engineering,scorer,automated_log,0
2026-07-08T20:00:00+00:00,public.scorer_reverse_engineering,scorer,coordination_control,0
2026-07-08T20:00:00+00:00,public.scorer_reverse_engineering,scorer,file_or_artifact,1
2026-07-08T20:00:00+00:00,public.scorer_reverse_engineering,scorer,general_conversation_or_request,0
2026-07-08T20:00:00+00:00,public.scorer_reverse_engineering,scorer,open_role_or_lane_advertisement,0
2026-07-08T20:00:00+00:00,public.scorer_reverse_engineering,scorer,result_or_breakthrough,0
2026-07-08T20:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,assignment,0
2026-07-08T20:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,automated_log,0
2026-07-08T20:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,coordination_control,0
2026-07-08T20:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,file_or_artifact,0
2026-07-08T20:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,general_conversation_or_request,2
2026-07-08T20:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,open_role_or_lane_advertisement,0
2026-07-08T20:00:00+00:00,eval.public_seed_hmac_shortcut,scorer,result_or_breakthrough,2
2026-07-08T20:00:00+00:00,public.coordination_infrastructure,cross,assignment,0
2026-07-08T20:00:00+00:00,public.coordination_infrastructure,cross,automated_log,0
2026-07-08T20:00:00+00:00,public.coordination_infrastructure,cross,coordination_control,0
2026-07-08T20:00:00+00:00,public.coordination_infrastructure,cross,file_or_artifact,0
2026-07-08T20:00:00+00:00,public.coordination_infrastructure,cross,general_conversation_or_request,1
2026-07-08T20:00:00+00:00,public.coordination_infrastructure,cross,open_role_or_lane_advertisement,0
2026-07-08T20:00:00+00:00,public.coordination_infrastructure,cross,result_or_breakthrough,0
2026-07-08T20:00:00+00:00,public.other_hacking_shared_infra,cross,assignment,0
2026-07-08T20:00:00+00:00,public.other_hacking_shared_infra,cross,automated_log,0
2026-07-08T20:00:00+00:00,public.other_hacking_shared_infra,cross,coordination_control,0
2026-07-08T20:00:00+00:00,public.other_hacking_shared_infra,cross,file_or_artifact,0
