model,cutoff_hour,train_intervals,test_intervals,converged,iterations,max_abs_coefficient
calendar_run_age,96,3485,2811,True,14,4.163124485885031
plus_board_tenure,96,3485,2811,True,13,4.173204241775875
training_mean,96,3485,2811,True,0,0.0
calendar_run_age,108,6296,2645,True,10,4.753156577240113
plus_board_tenure,108,6296,2645,True,12,4.765381245852896
training_mean,108,6296,2645,True,0,0.0
calendar_run_age,120,8941,3641,True,11,5.283071243284985
plus_board_tenure,120,8941,3641,True,20,5.287627078363151
training_mean,120,8941,3641,True,0,0.0
calendar_run_age,132,12582,833,True,14,4.588747361168018
plus_board_tenure,132,12582,833,True,17,4.578287569837883
training_mean,132,12582,833,True,0,0.0
calendar_run_age,144,13415,173,True,12,4.129192435582196
plus_board_tenure,144,13415,173,True,13,4.16288119237339
training_mean,144,13415,173,True,0,0.0
calendar_run_age,156,13588,107,True,12,4.03152974590975
plus_board_tenure,156,13588,107,True,13,4.074111575933154
training_mean,156,13588,107,True,0,0.0
calendar_run_age,168,13695,79,True,11,4.011628141816312
plus_board_tenure,168,13695,79,True,13,4.06031185945951
training_mean,168,13695,79,True,0,0.0
calendar_run_age,180,13774,11,True,11,3.947712718792675
plus_board_tenure,180,13774,11,True,12,3.9884277981530802
training_mean,180,13774,11,True,0,0.0
