cutoff,model,converged,iterations,max_abs_coefficient
96,calendar_run_age,True,13,4.035379891721972
96,plus_board_tenure,True,14,4.071508060894812
96,training_mean,True,0,0
108,calendar_run_age,True,11,4.641485367181889
108,plus_board_tenure,True,12,4.694302810356988
108,training_mean,True,0,0
120,calendar_run_age,True,11,5.109498277505693
120,plus_board_tenure,True,17,5.1434728763806845
120,training_mean,True,0,0
132,calendar_run_age,True,13,4.494755142227204
132,plus_board_tenure,True,16,4.483819486273626
132,training_mean,True,0,0
144,calendar_run_age,True,11,3.962583611902129
144,plus_board_tenure,True,14,4.034970129065766
144,training_mean,True,0,0
156,calendar_run_age,True,11,3.8581280626921326
156,plus_board_tenure,True,12,3.9525493233464557
156,training_mean,True,0,0
168,calendar_run_age,True,11,3.8095101578900588
168,plus_board_tenure,True,13,3.923072324741248
168,training_mean,True,0,0
180,calendar_run_age,True,11,3.7542793495275664
180,plus_board_tenure,True,11,3.861751878731785
180,training_mean,True,0,0
