row_id,family,issue,difference_minutes
66,h,write_before_read,-1.37481666666669
290,h,write_before_read,-0.4480666666660303
380,h,write_before_read,-857.8121666666673
406,h,write_before_read,-0.8468666666662709
511,h,onset_before_read,-3.853483333333861
612,h,onset_before_read,-249.59738333333323
623,h,onset_before_read,-30.705950000001273
631,h,onset_before_read,-967.3503999999996
635,h,onset_before_read,-18.038283333332704
739,h,onset_before_read,-141.11123333333333
764,h,write_before_read,-0.8505499999999302
768,h,write_before_read,-1.5760666666668839
816,h,write_before_read,-0.8878500000001319
890,h,write_before_read,-116.91171666666632
890,h,onset_before_read,-260.6992166666663
956,h,write_before_read,-281.48140000000035
956,h,onset_before_read,-656.8213500000003
988,h,write_before_read,-0.35064999999982926
1010,h,onset_before_read,-1043.0597499999994
1019,h,onset_before_read,-60.32111666666654
1024,h,write_before_read,-12.578700000001117
1024,h,onset_before_read,-1716.6776000000002
1032,h,onset_before_read,-3.157783333334373
1050,h,write_before_read,-159.48151666666672
1050,h,onset_before_read,-159.48151666666672
1056,h,onset_before_read,-19.29310000000017
1067,h,onset_before_read,-596.5968833333347
