group,read_day,horizon_hours,per_timestamp_error_minutes,nominal_risk_rows,guaranteed_recorded_onsets,possible_recorded_or_early_ended_onsets,lower,upper,ambiguous_ordering_rows,read_date_boundary_ambiguous
all,8,1,0,27,0,1,0.0,0.037037037037037035,0,0
all,8,1,5,27,0,1,0.0,0.037037037037037035,0,1
all,8,1,30,27,0,4,0.0,0.14814814814814814,0,13
all,8,1,120,27,0,18,0.0,0.6666666666666666,0,27
all,8,6,0,27,0,18,0.0,0.6666666666666666,0,0
all,8,6,5,27,0,18,0.0,0.6666666666666666,0,1
all,8,6,30,27,0,18,0.0,0.6666666666666666,0,13
all,8,6,120,27,0,20,0.0,0.7407407407407407,0,27
all,8,24,0,27,6,25,0.2222222222222222,0.9259259259259259,0,0
all,8,24,5,27,6,25,0.2222222222222222,0.9259259259259259,0,1
all,8,24,30,27,6,26,0.2222222222222222,0.9629629629629629,0,13
all,8,24,120,27,6,27,0.2222222222222222,1.0,0,27
all,9,1,0,486,31,40,0.06378600823045268,0.0823045267489712,0,0
all,9,1,5,486,20,44,0.0411522633744856,0.09053497942386832,5,5
all,9,1,30,486,0,72,0.0,0.14814814814814814,31,18
all,9,1,120,486,0,148,0.0,0.3045267489711934,63,56
all,9,6,0,486,74,154,0.1522633744855967,0.3168724279835391,0,0
all,9,6,5,486,69,156,0.1419753086419753,0.32098765432098764,5,5
all,9,6,30,486,43,169,0.08847736625514403,0.3477366255144033,31,18
all,9,6,120,486,0,223,0.0,0.4588477366255144,63,56
all,9,24,0,486,102,315,0.20987654320987653,0.6481481481481481,0,0
all,9,24,5,486,97,315,0.19958847736625515,0.6481481481481481,5,5
all,9,24,30,486,71,317,0.14609053497942387,0.6522633744855967,31,18
all,9,24,120,486,38,329,0.07818930041152264,0.676954732510288,63,56
all,10,1,0,146,2,9,0.0136986301369863,0.06164383561643835,0,0
all,10,1,5,146,2,9,0.0136986301369863,0.06164383561643835,0,3
all,10,1,30,146,0,12,0.0,0.0821917808219178,2,28
all,10,1,120,146,0,31,0.0,0.21232876712328766,3,74
all,10,6,0,146,5,36,0.03424657534246575,0.2465753424657534,0,0
all,10,6,5,146,5,36,0.03424657534246575,0.2465753424657534,0,3
all,10,6,30,146,2,38,0.0136986301369863,0.2602739726027397,2,28
all,10,6,120,146,0,54,0.0,0.3698630136986301,3,74
all,10,24,0,146,39,94,0.2671232876712329,0.6438356164383562,0,0
all,10,24,5,146,39,94,0.2671232876712329,0.6438356164383562,0,3
all,10,24,30,146,35,97,0.23972602739726026,0.6643835616438356,2,28
all,10,24,120,146,25,114,0.17123287671232876,0.7808219178082192,3,74
all,11,1,0,517,132,151,0.2553191489361702,0.29206963249516443,0,0
all,11,1,5,517,91,171,0.1760154738878143,0.3307543520309478,30,6
all,11,1,30,517,0,243,0.0,0.4700193423597679,132,23
all,11,1,120,517,0,375,0.0,0.7253384912959381,247,93
all,11,6,0,517,294,410,0.5686653771760155,0.793036750483559,0,0
all,11,6,5,517,259,415,0.5009671179883946,0.8027079303675049,30,6
all,11,6,30,517,137,437,0.26499032882011603,0.8452611218568665,132,23
all,11,6,120,517,0,479,0.0,0.9264990328820116,247,93
all,11,24,0,517,356,509,0.688588007736944,0.9845261121856866,0,0
all,11,24,5,517,326,509,0.6305609284332688,0.9845261121856866,30,6
all,11,24,30,517,224,510,0.4332688588007737,0.9864603481624759,132,23
all,11,24,120,517,109,512,0.21083172147001933,0.9903288201160542,247,93
all,12,1,0,13,10,12,0.7692307692307693,0.9230769230769231,0,0
all,12,1,5,13,5,12,0.38461538461538464,0.9230769230769231,5,0
all,12,1,30,13,0,12,0.0,0.9230769230769231,10,3
all,12,1,120,13,0,12,0.0,0.9230769230769231,10,5
