setting,model,cutoff,converged,iterations,max_abs_coefficient
1h_exclude0_shift-2,volume_baseline,48,True,22,1.2297360112435047
1h_exclude0_shift-2,plus_composition,48,True,32,1.310898902562765
1h_exclude0_shift-2,volume_baseline,60,True,19,1.706599922847678
1h_exclude0_shift-2,plus_composition,60,True,24,1.4920426882548605
1h_exclude0_shift-2,volume_baseline,72,True,18,1.2489710821273514
1h_exclude0_shift-2,plus_composition,72,True,26,1.035987084158331
1h_exclude0_shift-2,volume_baseline,84,True,19,0.9528200614264861
1h_exclude0_shift-2,plus_composition,84,True,30,0.9527798610438561
1h_exclude0_shift-2,volume_baseline,96,True,21,0.9485915448829535
1h_exclude0_shift-2,plus_composition,96,True,30,0.8944750619625024
1h_exclude0_shift-2,volume_baseline,108,True,20,1.0617110369518676
1h_exclude0_shift-2,plus_composition,108,True,24,1.1235055387472546
1h_exclude0_shift-2,volume_baseline,120,True,19,1.0526653422193883
1h_exclude0_shift-2,plus_composition,120,True,28,1.1476850624900672
1h_exclude0_shift-2,volume_baseline,132,True,18,1.1283622803531976
1h_exclude0_shift-2,plus_composition,132,True,32,1.2238636692211318
1h_exclude0_shift-1,volume_baseline,48,True,23,1.834832050054561
1h_exclude0_shift-1,plus_composition,48,True,43,2.0134402286214113
1h_exclude0_shift-1,volume_baseline,60,True,19,1.5774493356037231
1h_exclude0_shift-1,plus_composition,60,True,30,1.7421069012917991
1h_exclude0_shift-1,volume_baseline,72,True,18,1.4239768294938895
1h_exclude0_shift-1,plus_composition,72,True,23,1.4765049371101007
1h_exclude0_shift-1,volume_baseline,84,True,21,1.630401357931546
1h_exclude0_shift-1,plus_composition,84,True,31,1.1150427986558276
1h_exclude0_shift-1,volume_baseline,96,True,19,1.3087729836005124
1h_exclude0_shift-1,plus_composition,96,True,33,1.3520704137981618
1h_exclude0_shift-1,volume_baseline,108,True,19,1.5647590984745656
1h_exclude0_shift-1,plus_composition,108,True,24,1.9988321479972837
1h_exclude0_shift-1,volume_baseline,120,True,17,1.632730267166444
1h_exclude0_shift-1,plus_composition,120,True,26,1.9933295989027302
1h_exclude0_shift-1,volume_baseline,132,True,17,1.6867739087633074
1h_exclude0_shift-1,plus_composition,132,True,26,1.9596263586831832
1h_exclude0_shift0,volume_baseline,48,True,25,1.652595718468295
1h_exclude0_shift0,plus_composition,48,True,34,1.879096549051735
1h_exclude0_shift0,volume_baseline,60,True,19,1.7314362202533031
1h_exclude0_shift0,plus_composition,60,True,27,2.1649539125421553
1h_exclude0_shift0,volume_baseline,72,True,16,1.8034654017038187
1h_exclude0_shift0,plus_composition,72,True,25,2.3226545282821736
1h_exclude0_shift0,volume_baseline,84,True,21,2.4099719315772403
1h_exclude0_shift0,plus_composition,84,True,30,1.5248415402029494
1h_exclude0_shift0,volume_baseline,96,True,21,1.9371824970447769
1h_exclude0_shift0,plus_composition,96,True,30,2.0994113450465117
1h_exclude0_shift0,volume_baseline,108,True,20,2.339350749357892
1h_exclude0_shift0,plus_composition,108,True,22,2.41458111284553
1h_exclude0_shift0,volume_baseline,120,True,19,2.369257200432203
1h_exclude0_shift0,plus_composition,120,True,26,2.400650759884936
1h_exclude0_shift0,volume_baseline,132,True,20,2.397981108676407
1h_exclude0_shift0,plus_composition,132,True,26,2.3923123528255954
1h_exclude0_shift1,volume_baseline,48,True,28,2.0612514202545693
1h_exclude0_shift1,plus_composition,48,True,35,1.993656926647935
1h_exclude0_shift1,volume_baseline,60,True,19,1.8668205124640374
1h_exclude0_shift1,plus_composition,60,True,25,2.133592317555207
1h_exclude0_shift1,volume_baseline,72,True,19,2.0098270522582435
1h_exclude0_shift1,plus_composition,72,True,30,2.1137527026814205
1h_exclude0_shift1,volume_baseline,84,True,19,2.5028598305438376
1h_exclude0_shift1,plus_composition,84,True,35,1.6108755163950184
1h_exclude0_shift1,volume_baseline,96,True,21,2.2050077334956213
1h_exclude0_shift1,plus_composition,96,True,29,1.9349218184459054
1h_exclude0_shift1,volume_baseline,108,True,19,2.5847683865505395
1h_exclude0_shift1,plus_composition,108,True,25,2.9504935255044664
1h_exclude0_shift1,volume_baseline,120,True,21,2.623576628435512
1h_exclude0_shift1,plus_composition,120,True,26,3.0298921278104913
1h_exclude0_shift1,volume_baseline,132,True,20,2.6538559923892255
1h_exclude0_shift1,plus_composition,132,True,26,3.04103852560343
1h_exclude0_shift2,volume_baseline,48,True,22,2.2892918879404642
1h_exclude0_shift2,plus_composition,48,True,40,2.4470031243305876
1h_exclude0_shift2,volume_baseline,60,True,20,2.017112185197178
1h_exclude0_shift2,plus_composition,60,True,26,1.6671041062685814
1h_exclude0_shift2,volume_baseline,72,True,20,1.8396212294212209
1h_exclude0_shift2,plus_composition,72,True,25,1.592258671121485
1h_exclude0_shift2,volume_baseline,84,True,21,2.438089531472791
1h_exclude0_shift2,plus_composition,84,True,29,2.1047617831564236
1h_exclude0_shift2,volume_baseline,96,True,20,2.3446211807562807
1h_exclude0_shift2,plus_composition,96,True,39,1.8270127209100293
1h_exclude0_shift2,volume_baseline,108,True,19,2.6631357504663606
1h_exclude0_shift2,plus_composition,108,True,32,3.257465582663135
1h_exclude0_shift2,volume_baseline,120,True,20,2.738817118484302
1h_exclude0_shift2,plus_composition,120,True,33,3.3157015447929825
1h_exclude0_shift2,volume_baseline,132,True,20,2.797501477126914
1h_exclude0_shift2,plus_composition,132,True,30,3.317171730277253
1h_exclude1_shift-2,volume_baseline,48,True,22,1.2364204641177998
1h_exclude1_shift-2,plus_composition,48,True,30,1.3249813661326506
1h_exclude1_shift-2,volume_baseline,60,True,19,1.6864703849685017
1h_exclude1_shift-2,plus_composition,60,True,26,1.4826152660495457
1h_exclude1_shift-2,volume_baseline,72,True,17,1.2334378133226973
1h_exclude1_shift-2,plus_composition,72,True,20,1.031433120036117
1h_exclude1_shift-2,volume_baseline,84,True,19,0.9135785164054557
1h_exclude1_shift-2,plus_composition,84,True,30,0.955333426381462
1h_exclude1_shift-2,volume_baseline,96,True,21,0.9455161702916401
1h_exclude1_shift-2,plus_composition,96,True,27,0.890691296595381
1h_exclude1_shift-2,volume_baseline,108,True,20,1.0672836275288045
1h_exclude1_shift-2,plus_composition,108,True,23,1.099660752445779
1h_exclude1_shift-2,volume_baseline,120,True,19,1.0417799592334909
1h_exclude1_shift-2,plus_composition,120,True,21,1.0717617808869755
1h_exclude1_shift-2,volume_baseline,132,True,18,1.0842026336269934
1h_exclude1_shift-2,plus_composition,132,True,26,1.1131270325404723
1h_exclude1_shift-1,volume_baseline,48,True,23,1.8201255555589293
1h_exclude1_shift-1,plus_composition,48,True,37,2.011960679748217
1h_exclude1_shift-1,volume_baseline,60,True,19,1.5757256080633524
1h_exclude1_shift-1,plus_composition,60,True,25,1.7597027242477208
1h_exclude1_shift-1,volume_baseline,72,True,18,1.420156937973448
1h_exclude1_shift-1,plus_composition,72,True,23,1.5041032525797962
1h_exclude1_shift-1,volume_baseline,84,True,19,1.661607229318618
1h_exclude1_shift-1,plus_composition,84,True,32,1.1615484081670093
