setting,bin_hours,exclude_automated_files,onset_shift_hours,model,initial_training_bins,very_small_initial_training_sample,test_bins,test_onsets,mae,poisson_deviance
1h_exclude0_shift-2,1,False,-2,volume_baseline,47,False,96,584,8.158649357775408,14.096310344173725
1h_exclude0_shift-2,1,False,-2,plus_composition,47,False,96,584,9.329462192110931,20.624114297057883
1h_exclude0_shift-2,1,False,-2,persistence,47,False,96,584,3.3333333333333335,7.11388213682342
1h_exclude0_shift-2,1,False,-2,training_mean,47,False,96,584,8.268304159019438,29.259812314731622
1h_exclude0_shift-1,1,False,-1,volume_baseline,47,False,96,584,13.803612944841783,25.415492514682516
1h_exclude0_shift-1,1,False,-1,plus_composition,47,False,96,584,22.202059115623054,52.8554377697699
1h_exclude0_shift-1,1,False,-1,persistence,47,False,96,584,3.3541666666666665,7.155548803281754
1h_exclude0_shift-1,1,False,-1,training_mean,47,False,96,584,8.179916472811676,28.5679792404862
1h_exclude0_shift0,1,False,0,volume_baseline,47,False,96,586,11.10693591257648,21.88198626305874
1h_exclude0_shift0,1,False,0,plus_composition,47,False,96,586,12.401008027580476,46.77668190411797
1h_exclude0_shift0,1,False,0,persistence,47,False,96,586,3.3645833333333335,7.163596602263417
1h_exclude0_shift0,1,False,0,training_mean,47,False,96,586,8.086390824335727,27.813709594547902
1h_exclude0_shift1,1,False,1,volume_baseline,47,False,96,587,9.706504549122535,19.004030037236827
1h_exclude0_shift1,1,False,1,plus_composition,47,False,96,587,14.670080572857726,40.25112041484619
1h_exclude0_shift1,1,False,1,persistence,47,False,96,587,3.375,7.169989369126752
1h_exclude0_shift1,1,False,1,training_mean,47,False,96,587,8.017320873075532,26.50059929779542
1h_exclude0_shift2,1,False,2,volume_baseline,47,False,96,589,7.878804561382289,14.548437561429507
1h_exclude0_shift2,1,False,2,plus_composition,47,False,96,589,2721.3310065620203,5418.263894411531
1h_exclude0_shift2,1,False,2,persistence,47,False,96,589,3.375,7.169989368918419
1h_exclude0_shift2,1,False,2,training_mean,47,False,96,589,7.959752994695845,25.91955445331048
1h_exclude1_shift-2,1,True,-2,volume_baseline,47,False,96,584,8.12425016438151,13.984118438793965
1h_exclude1_shift-2,1,True,-2,plus_composition,47,False,96,584,9.232818176209806,20.74472032581673
1h_exclude1_shift-2,1,True,-2,persistence,47,False,96,584,3.3333333333333335,7.11388213682342
1h_exclude1_shift-2,1,True,-2,training_mean,47,False,96,584,8.268304159019438,29.259812314731622
1h_exclude1_shift-1,1,True,-1,volume_baseline,47,False,96,584,13.538053977676453,24.83444484936329
1h_exclude1_shift-1,1,True,-1,plus_composition,47,False,96,584,21.0863633152572,50.94454727854899
1h_exclude1_shift-1,1,True,-1,persistence,47,False,96,584,3.3541666666666665,7.155548803281754
1h_exclude1_shift-1,1,True,-1,training_mean,47,False,96,584,8.179916472811676,28.5679792404862
1h_exclude1_shift0,1,True,0,volume_baseline,47,False,96,586,11.06023884988303,21.495750928618346
1h_exclude1_shift0,1,True,0,plus_composition,47,False,96,586,11.693782465159153,43.46628885937267
1h_exclude1_shift0,1,True,0,persistence,47,False,96,586,3.3645833333333335,7.163596602263417
1h_exclude1_shift0,1,True,0,training_mean,47,False,96,586,8.086390824335727,27.813709594547902
1h_exclude1_shift1,1,True,1,volume_baseline,47,False,96,587,9.669296456276712,18.64361211123567
1h_exclude1_shift1,1,True,1,plus_composition,47,False,96,587,15.134031221964145,40.35034725636822
1h_exclude1_shift1,1,True,1,persistence,47,False,96,587,3.375,7.169989369126752
1h_exclude1_shift1,1,True,1,training_mean,47,False,96,587,8.017320873075532,26.50059929779542
1h_exclude1_shift2,1,True,2,volume_baseline,47,False,96,589,7.81594724125543,14.198156575087276
1h_exclude1_shift2,1,True,2,plus_composition,47,False,96,589,1887.8074790855035,3752.1539613462305
1h_exclude1_shift2,1,True,2,persistence,47,False,96,589,3.375,7.169989368918419
1h_exclude1_shift2,1,True,2,training_mean,47,False,96,589,7.959752994695845,25.91955445331048
2h_exclude0_shift-2,2,False,-2,volume_baseline,23,False,48,584,69.733034638431,155.60192947834736
2h_exclude0_shift-2,2,False,-2,plus_composition,23,False,48,584,63.68606526638837,166.35046670586786
2h_exclude0_shift-2,2,False,-2,persistence,23,False,48,584,6.75,14.688668360469846
2h_exclude0_shift-2,2,False,-2,training_mean,23,False,48,584,16.398743346509104,56.8261585577748
2h_exclude0_shift-1,2,False,-1,volume_baseline,23,False,48,584,99.79276308089588,216.56679121538332
2h_exclude0_shift-1,2,False,-1,plus_composition,23,False,48,584,97.76592856484892,243.79577162935257
2h_exclude0_shift-1,2,False,-1,persistence,23,False,48,584,9.145833333333334,19.21848581723768
2h_exclude0_shift-1,2,False,-1,training_mean,23,False,48,584,16.235306838502787,55.64880867928173
2h_exclude0_shift0,2,False,0,volume_baseline,23,False,48,586,75.31643282457962,177.24791696956538
2h_exclude0_shift0,2,False,0,plus_composition,23,False,48,586,74.1728904801382,215.72482925884037
2h_exclude0_shift0,2,False,0,persistence,23,False,48,586,6.770833333333333,14.696546267710834
2h_exclude0_shift0,2,False,0,training_mean,23,False,48,586,16.075817851066784,53.87477266145234
2h_exclude0_shift1,2,False,1,volume_baseline,23,False,48,587,55.274199751166805,132.95020386411406
2h_exclude0_shift1,2,False,1,plus_composition,23,False,48,587,43.24453443801482,170.89219295289058
2h_exclude0_shift1,2,False,1,persistence,23,False,48,587,9.166666666666666,19.224192224431206
2h_exclude0_shift1,2,False,1,training_mean,23,False,48,587,15.93043416688026,51.505049155300846
2h_exclude0_shift2,2,False,2,volume_baseline,23,False,48,589,35.72406415197609,89.01280584701622
2h_exclude0_shift2,2,False,2,plus_composition,23,False,48,589,35.83631794625617,116.47244911114717
2h_exclude0_shift2,2,False,2,persistence,23,False,48,589,6.833333333333333,14.734902869724172
2h_exclude0_shift2,2,False,2,training_mean,23,False,48,589,15.863296184977893,50.077634048478046
2h_exclude1_shift-2,2,True,-2,volume_baseline,23,False,48,584,68.22155953839575,152.44566633116855
2h_exclude1_shift-2,2,True,-2,plus_composition,23,False,48,584,58.411964076196064,157.8972054227998
2h_exclude1_shift-2,2,True,-2,persistence,23,False,48,584,6.75,14.688668360469846
2h_exclude1_shift-2,2,True,-2,training_mean,23,False,48,584,16.398743346509104,56.8261585577748
2h_exclude1_shift-1,2,True,-1,volume_baseline,23,False,48,584,99.16753069464691,214.96189010928822
2h_exclude1_shift-1,2,True,-1,plus_composition,23,False,48,584,86.20493810740858,223.60087723506754
2h_exclude1_shift-1,2,True,-1,persistence,23,False,48,584,9.145833333333334,19.21848581723768
2h_exclude1_shift-1,2,True,-1,training_mean,23,False,48,584,16.235306838502787,55.64880867928173
2h_exclude1_shift0,2,True,0,volume_baseline,23,False,48,586,75.45438370786233,176.60763076745593
2h_exclude1_shift0,2,True,0,plus_composition,23,False,48,586,67.12224125738034,202.00379389564088
2h_exclude1_shift0,2,True,0,persistence,23,False,48,586,6.770833333333333,14.696546267710834
2h_exclude1_shift0,2,True,0,training_mean,23,False,48,586,16.075817851066784,53.87477266145234
2h_exclude1_shift1,2,True,1,volume_baseline,23,False,48,587,55.480485957140424,132.43090328175683
2h_exclude1_shift1,2,True,1,plus_composition,23,False,48,587,41.89635735607043,165.01195366004922
2h_exclude1_shift1,2,True,1,persistence,23,False,48,587,9.166666666666666,19.224192224431206
2h_exclude1_shift1,2,True,1,training_mean,23,False,48,587,15.93043416688026,51.505049155300846
2h_exclude1_shift2,2,True,2,volume_baseline,23,False,48,589,36.21405494037805,88.97385525954087
2h_exclude1_shift2,2,True,2,plus_composition,23,False,48,589,35.507703822482036,118.27418996106205
2h_exclude1_shift2,2,True,2,persistence,23,False,48,589,6.833333333333333,14.734902869724172
2h_exclude1_shift2,2,True,2,training_mean,23,False,48,589,15.863296184977893,50.077634048478046
6h_exclude0_shift-2,6,False,-2,volume_baseline,7,True,16,584,166.1223922987146,559.6675733239892
6h_exclude0_shift-2,6,False,-2,plus_composition,7,True,16,584,255.46319983887173,797.27880503502
6h_exclude0_shift-2,6,False,-2,persistence,7,True,16,584,39.8125,96.58388654954516
