0.00.100.985 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.101.385 W srv  llama_server: -----------------
0.00.101.387 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.101.388 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.101.388 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.101.389 W srv  llama_server: -----------------
0.00.103.059 I srv    load_model: loading model '/Users/lauragomez/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct-GGUF/snapshots/bb5d59e06d9551d752d08b292a50eb208b07ab1f/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf'
0.00.168.543 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.630.870 I cmn          init: llama threadpool init, n_threads = 6
0.03.563.515 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 6144, kv_unified = 'false'
0.03.566.494 I srv  llama_server: model loaded
0.03.566.498 I srv  llama_server: listening on http://127.0.0.1:18973
0.08.953.420 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.953.724 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.25.731.594 I slot print_timing: id  0 | task 0 | prompt eval time =   15838.51 ms /   648 tokens (   24.44 ms per token,    40.91 tokens per second)
0.25.731.614 I slot print_timing: id  0 | task 0 |        eval time =     939.26 ms /    20 tokens (   49.44 ms per token,    20.23 tokens per second)
0.25.731.616 I slot print_timing: id  0 | task 0 |       total time =   16777.78 ms /   668 tokens
0.25.731.617 I slot print_timing: id  0 | task 0 |    graphs reused =         19
0.25.731.910 I slot      release: id  0 | task 0 | stop processing: n_tokens = 667, truncated = 0
0.25.741.804 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.716 (> 0.100 thold), f_keep = 1.000
0.25.741.899 I slot launch_slot_: id  0 | task 21 | processing task, is_child = 0
0.34.313.464 I slot print_timing: id  0 | task 21 | prompt eval time =    7424.70 ms /   265 tokens (   28.02 ms per token,    35.69 tokens per second)
0.34.313.467 I slot print_timing: id  0 | task 21 |        eval time =    1146.83 ms /    20 tokens (   60.36 ms per token,    16.57 tokens per second)
0.34.313.467 I slot print_timing: id  0 | task 21 |       total time =    8571.53 ms /   285 tokens
0.34.313.468 I slot print_timing: id  0 | task 21 |    graphs reused =         37
0.34.313.555 I slot      release: id  0 | task 21 | stop processing: n_tokens = 951, truncated = 0
0.34.321.927 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.721 (> 0.100 thold), f_keep = 1.000
0.34.322.019 I slot launch_slot_: id  0 | task 42 | processing task, is_child = 0
0.47.347.441 I slot print_timing: id  0 | task 42 | prompt eval time =   11404.83 ms /   368 tokens (   30.99 ms per token,    32.27 tokens per second)
0.47.347.445 I slot print_timing: id  0 | task 42 |        eval time =    1620.55 ms /    20 tokens (   85.29 ms per token,    11.72 tokens per second)
0.47.347.445 I slot print_timing: id  0 | task 42 |       total time =   13025.37 ms /   388 tokens
0.47.347.446 I slot print_timing: id  0 | task 42 |    graphs reused =         55
0.47.347.956 I slot      release: id  0 | task 42 | stop processing: n_tokens = 1338, truncated = 0
0.47.362.633 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.820 (> 0.100 thold), f_keep = 0.399
0.47.376.535 I slot launch_slot_: id  0 | task 63 | processing task, is_child = 0
0.54.773.061 I slot print_timing: id  0 | task 63 | prompt eval time =    3464.91 ms /   117 tokens (   29.61 ms per token,    33.77 tokens per second)
0.54.773.064 I slot print_timing: id  0 | task 63 |        eval time =    3931.54 ms /    76 tokens (   52.42 ms per token,    19.08 tokens per second)
0.54.773.065 I slot print_timing: id  0 | task 63 |       total time =    7396.45 ms /   193 tokens
0.54.773.065 I slot print_timing: id  0 | task 63 |    graphs reused =        129
