0.00.074.594 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.074.919 W srv  llama_server: -----------------
0.00.074.922 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.074.922 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.074.923 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.074.923 W srv  llama_server: -----------------
0.00.076.359 I srv    load_model: loading model '/Users/lauragomez/Desktop/openai-hf/data/models/opportunity_smol/smol-Q4_K_M.gguf'
0.00.565.608 I cmn          init: llama threadpool init, n_threads = 6
0.00.644.400 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 6144, kv_unified = 'false'
0.00.645.580 I srv  llama_server: model loaded
0.00.645.584 I srv  llama_server: listening on http://127.0.0.1:18973
0.06.451.726 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.451.756 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.10.820.875 I slot print_timing: id  0 | task 0 | prompt eval time =    1987.70 ms /   332 tokens (    5.99 ms per token,   167.03 tokens per second)
0.10.820.879 I slot print_timing: id  0 | task 0 |        eval time =    2381.41 ms /   192 tokens (   12.47 ms per token,    80.20 tokens per second)
0.10.820.879 I slot print_timing: id  0 | task 0 |       total time =    4369.11 ms /   524 tokens
0.10.820.880 I slot print_timing: id  0 | task 0 |    graphs reused =        190
0.10.820.938 I slot      release: id  0 | task 0 | stop processing: n_tokens = 523, truncated = 0
0.10.826.882 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.603 (> 0.100 thold), f_keep = 0.386
0.10.834.775 I slot launch_slot_: id  0 | task 193 | processing task, is_child = 0
0.14.166.977 I slot print_timing: id  0 | task 193 | prompt eval time =     901.27 ms /   133 tokens (    6.78 ms per token,   147.57 tokens per second)
0.14.166.982 I slot print_timing: id  0 | task 193 |        eval time =    2430.91 ms /   192 tokens (   12.73 ms per token,    78.57 tokens per second)
0.14.166.982 I slot print_timing: id  0 | task 193 |       total time =    3332.19 ms /   325 tokens
0.14.166.982 I slot print_timing: id  0 | task 193 |    graphs reused =        379
0.14.167.030 I slot      release: id  0 | task 193 | stop processing: n_tokens = 526, truncated = 0
0.14.172.717 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.594 (> 0.100 thold), f_keep = 0.384
0.14.184.875 I slot launch_slot_: id  0 | task 386 | processing task, is_child = 0
0.17.016.470 I slot print_timing: id  0 | task 386 | prompt eval time =     362.13 ms /    55 tokens (    6.58 ms per token,   151.88 tokens per second)
0.17.016.473 I slot print_timing: id  0 | task 386 |        eval time =    2469.45 ms /   192 tokens (   12.93 ms per token,    77.35 tokens per second)
0.17.016.473 I slot print_timing: id  0 | task 386 |       total time =    2831.59 ms /   247 tokens
0.17.016.474 I slot print_timing: id  0 | task 386 |    graphs reused =        568
0.17.016.496 I slot      release: id  0 | task 386 | stop processing: n_tokens = 531, truncated = 0
0.17.019.589 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.388 (> 0.100 thold), f_keep = 0.237
0.17.027.212 I slot launch_slot_: id  0 | task 579 | processing task, is_child = 0
0.20.825.956 I slot print_timing: id  0 | task 579 | prompt eval time =    1308.12 ms /   199 tokens (    6.57 ms per token,   152.13 tokens per second)
0.20.825.960 I slot print_timing: id  0 | task 579 |        eval time =    2490.61 ms /   192 tokens (   13.04 ms per token,    76.69 tokens per second)
0.20.825.960 I slot print_timing: id  0 | task 579 |       total time =    3798.73 ms /   391 tokens
0.20.825.960 I slot print_timing: id  0 | task 579 |    graphs reused =        757
0.20.825.986 I slot      release: id  0 | task 579 | stop processing: n_tokens = 516, truncated = 0
0.20.828.847 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.595 (> 0.100 thold), f_keep = 0.378
0.20.831.033 I slot launch_slot_: id  0 | task 772 | processing task, is_child = 0
0.24.326.744 I slot print_timing: id  0 | task 772 | prompt eval time =     920.23 ms /   133 tokens (    6.92 ms per token,   144.53 tokens per second)
0.24.326.746 I slot print_timing: id  0 | task 772 |        eval time =    2575.46 ms /   192 tokens (   13.48 ms per token,    74.16 tokens per second)
