0.00.113.532 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.113.692 W srv  llama_server: -----------------
0.00.113.694 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.113.694 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.113.694 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.113.694 W srv  llama_server: -----------------
0.00.115.319 I srv    load_model: loading model '/Users/lauragomez/Desktop/openai-hf/data/models/opportunity_smol/smol-Q4_K_M.gguf'
0.00.609.785 I cmn          init: llama threadpool init, n_threads = 6
0.00.707.303 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 6144, kv_unified = 'false'
0.00.711.162 I srv  llama_server: model loaded
0.00.711.169 I srv  llama_server: listening on http://127.0.0.1:18973
0.01.018.888 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.01.018.915 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.04.687.928 I slot print_timing: id  0 | task 0 | prompt eval time =    3492.20 ms /   504 tokens (    6.93 ms per token,   144.32 tokens per second)
0.04.687.931 I slot print_timing: id  0 | task 0 |        eval time =     176.80 ms /    13 tokens (   14.73 ms per token,    67.87 tokens per second)
0.04.687.932 I slot print_timing: id  0 | task 0 |       total time =    3669.00 ms /   517 tokens
0.04.687.932 I slot print_timing: id  0 | task 0 |    graphs reused =         11
0.04.687.969 I slot      release: id  0 | task 0 | stop processing: n_tokens = 516, truncated = 0
0.04.697.563 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.292 (> 0.100 thold), f_keep = 0.279
0.04.705.804 I slot launch_slot_: id  0 | task 14 | processing task, is_child = 0
0.07.408.126 I slot print_timing: id  0 | task 14 | prompt eval time =    2526.02 ms /   349 tokens (    7.24 ms per token,   138.16 tokens per second)
0.07.408.129 I slot print_timing: id  0 | task 14 |        eval time =     176.29 ms /    13 tokens (   14.69 ms per token,    68.07 tokens per second)
