family_id,arm,continuation,run_id
PROPOSED-05,baseline,5,PROPOSED-05-baseline-5
PROPOSED-07,authority_clarification,3,PROPOSED-07-authority_clarification-3
PROPOSED-03,authority_clarification,4,PROPOSED-03-authority_clarification-4
PROPOSED-01,baseline,4,PROPOSED-01-baseline-4
PROPOSED-02,neutral_reminder,3,PROPOSED-02-neutral_reminder-3
PROPOSED-08,baseline,3,PROPOSED-08-baseline-3
PROPOSED-10,baseline,4,PROPOSED-10-baseline-4
PROPOSED-04,neutral_reminder,3,PROPOSED-04-neutral_reminder-3
PROPOSED-05,baseline,3,PROPOSED-05-baseline-3
PROPOSED-10,baseline,2,PROPOSED-10-baseline-2
PROPOSED-01,authority_clarification,4,PROPOSED-01-authority_clarification-4
PROPOSED-09,baseline,5,PROPOSED-09-baseline-5
PROPOSED-05,baseline,4,PROPOSED-05-baseline-4
PROPOSED-01,neutral_reminder,4,PROPOSED-01-neutral_reminder-4
PROPOSED-12,baseline,2,PROPOSED-12-baseline-2
PROPOSED-10,baseline,1,PROPOSED-10-baseline-1
PROPOSED-01,authority_clarification,5,PROPOSED-01-authority_clarification-5
PROPOSED-03,neutral_reminder,5,PROPOSED-03-neutral_reminder-5
PROPOSED-12,neutral_reminder,3,PROPOSED-12-neutral_reminder-3
PROPOSED-01,authority_clarification,3,PROPOSED-01-authority_clarification-3
PROPOSED-05,baseline,1,PROPOSED-05-baseline-1
PROPOSED-02,baseline,1,PROPOSED-02-baseline-1
PROPOSED-08,baseline,5,PROPOSED-08-baseline-5
PROPOSED-09,authority_clarification,2,PROPOSED-09-authority_clarification-2
PROPOSED-04,baseline,1,PROPOSED-04-baseline-1
PROPOSED-02,authority_clarification,4,PROPOSED-02-authority_clarification-4
PROPOSED-11,baseline,1,PROPOSED-11-baseline-1
PROPOSED-04,authority_clarification,2,PROPOSED-04-authority_clarification-2
PROPOSED-05,authority_clarification,5,PROPOSED-05-authority_clarification-5
PROPOSED-03,authority_clarification,3,PROPOSED-03-authority_clarification-3
PROPOSED-12,neutral_reminder,4,PROPOSED-12-neutral_reminder-4
PROPOSED-05,authority_clarification,4,PROPOSED-05-authority_clarification-4
PROPOSED-03,authority_clarification,1,PROPOSED-03-authority_clarification-1
PROPOSED-08,neutral_reminder,3,PROPOSED-08-neutral_reminder-3
PROPOSED-12,baseline,1,PROPOSED-12-baseline-1
PROPOSED-10,authority_clarification,2,PROPOSED-10-authority_clarification-2
PROPOSED-11,baseline,5,PROPOSED-11-baseline-5
PROPOSED-10,neutral_reminder,4,PROPOSED-10-neutral_reminder-4
PROPOSED-07,neutral_reminder,1,PROPOSED-07-neutral_reminder-1
PROPOSED-01,neutral_reminder,5,PROPOSED-01-neutral_reminder-5
PROPOSED-06,authority_clarification,5,PROPOSED-06-authority_clarification-5
PROPOSED-04,neutral_reminder,1,PROPOSED-04-neutral_reminder-1
PROPOSED-01,baseline,1,PROPOSED-01-baseline-1
PROPOSED-08,baseline,1,PROPOSED-08-baseline-1
PROPOSED-03,baseline,1,PROPOSED-03-baseline-1
PROPOSED-01,authority_clarification,2,PROPOSED-01-authority_clarification-2
PROPOSED-11,baseline,3,PROPOSED-11-baseline-3
PROPOSED-06,baseline,4,PROPOSED-06-baseline-4
PROPOSED-05,neutral_reminder,1,PROPOSED-05-neutral_reminder-1
PROPOSED-02,authority_clarification,2,PROPOSED-02-authority_clarification-2
PROPOSED-06,neutral_reminder,5,PROPOSED-06-neutral_reminder-5
PROPOSED-07,baseline,1,PROPOSED-07-baseline-1
PROPOSED-06,authority_clarification,2,PROPOSED-06-authority_clarification-2
PROPOSED-09,neutral_reminder,1,PROPOSED-09-neutral_reminder-1
PROPOSED-12,authority_clarification,5,PROPOSED-12-authority_clarification-5
PROPOSED-04,neutral_reminder,2,PROPOSED-04-neutral_reminder-2
PROPOSED-07,baseline,4,PROPOSED-07-baseline-4
PROPOSED-09,neutral_reminder,2,PROPOSED-09-neutral_reminder-2
PROPOSED-01,baseline,2,PROPOSED-01-baseline-2
PROPOSED-07,authority_clarification,4,PROPOSED-07-authority_clarification-4
PROPOSED-04,authority_clarification,4,PROPOSED-04-authority_clarification-4
PROPOSED-12,neutral_reminder,1,PROPOSED-12-neutral_reminder-1
PROPOSED-11,neutral_reminder,5,PROPOSED-11-neutral_reminder-5
PROPOSED-12,neutral_reminder,2,PROPOSED-12-neutral_reminder-2
PROPOSED-08,neutral_reminder,2,PROPOSED-08-neutral_reminder-2
PROPOSED-03,neutral_reminder,1,PROPOSED-03-neutral_reminder-1
