0.00.073.217 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.073.262 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.073.419 W srv  llama_server: -----------------
0.00.073.420 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.073.420 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.073.420 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.073.420 W srv  llama_server: -----------------
0.00.074.772 I srv    load_model: loading model '/Users/lauragomez/Desktop/openai-hf/data/models/workflow_qwen3/qwen3-8b-Q4_K_M.gguf'
0.00.144.368 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.05.953.950 I cmn          init: llama threadpool init, n_threads = 6
0.07.142.271 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 6144, kv_unified = 'false'
0.07.149.218 I srv  llama_server: model loaded
0.07.149.224 I srv  llama_server: listening on http://127.0.0.1:18973
0.08.115.051 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.08.115.081 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.291.743 I slot print_timing: id  0 | task 0 | prompt eval time =    8654.28 ms /   329 tokens (   26.30 ms per token,    38.02 tokens per second)
0.17.291.747 I slot print_timing: id  0 | task 0 |        eval time =     522.35 ms /    11 tokens (   52.23 ms per token,    19.14 tokens per second)
0.17.291.748 I slot print_timing: id  0 | task 0 |       total time =    9176.62 ms /   340 tokens
0.17.291.748 I slot print_timing: id  0 | task 0 |    graphs reused =         10
0.17.292.144 I slot      release: id  0 | task 0 | stop processing: n_tokens = 339, truncated = 0
0.17.300.872 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.132 (> 0.100 thold), f_keep = 0.156
0.17.305.623 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
0.27.538.223 I slot print_timing: id  0 | task 12 | prompt eval time =    9038.92 ms /   347 tokens (   26.05 ms per token,    38.39 tokens per second)
0.27.538.226 I slot print_timing: id  0 | task 12 |        eval time =    1193.63 ms /    11 tokens (  119.36 ms per token,     8.38 tokens per second)
0.27.538.227 I slot print_timing: id  0 | task 12 |       total time =   10232.55 ms /   358 tokens
0.27.538.227 I slot print_timing: id  0 | task 12 |    graphs reused =         19
0.27.538.353 I slot      release: id  0 | task 12 | stop processing: n_tokens = 410, truncated = 0
0.27.547.442 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.161 (> 0.100 thold), f_keep = 0.129
0.27.568.884 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.29.148.218 I slot print_timing: id  0 | task 24 | prompt eval time =    1026.02 ms /    37 tokens (   27.73 ms per token,    36.06 tokens per second)
0.29.148.221 I slot print_timing: id  0 | task 24 |        eval time =     553.28 ms /    11 tokens (   55.33 ms per token,    18.07 tokens per second)
0.29.148.221 I slot print_timing: id  0 | task 24 |       total time =    1579.30 ms /    48 tokens
0.29.148.222 I slot print_timing: id  0 | task 24 |    graphs reused =         28
0.29.148.528 I slot      release: id  0 | task 24 | stop processing: n_tokens = 339, truncated = 0
0.29.156.786 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.189 (> 0.100 thold), f_keep = 0.186
0.29.161.426 I slot launch_slot_: id  0 | task 36 | processing task, is_child = 0
0.37.527.821 I slot print_timing: id  0 | task 36 | prompt eval time =    7331.02 ms /   270 tokens (   27.15 ms per token,    36.83 tokens per second)
0.37.527.825 I slot print_timing: id  0 | task 36 |        eval time =    1035.34 ms /    11 tokens (  103.53 ms per token,     9.66 tokens per second)
0.37.527.825 I slot print_timing: id  0 | task 36 |       total time =    8366.37 ms /   281 tokens
0.37.527.825 I slot print_timing: id  0 | task 36 |    graphs reused =         37
0.37.527.869 I slot      release: id  0 | task 36 | stop processing: n_tokens = 343, truncated = 0
0.37.538.455 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.889 (> 0.100 thold), f_keep = 0.863
0.37.538.490 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
0.39.121.814 I slot print_timing: id  0 | task 48 | prompt eval time =    1038.70 ms /    37 tokens (   28.07 ms per token,    35.62 tokens per second)
0.39.121.817 I slot print_timing: id  0 | task 48 |        eval time =     544.61 ms /    11 tokens (   54.46 ms per token,    18.36 tokens per second)
0.39.121.817 I slot print_timing: id  0 | task 48 |       total time =    1583.31 ms /    48 tokens
0.39.121.817 I slot print_timing: id  0 | task 48 |    graphs reused =         46
0.39.121.839 I slot      release: id  0 | task 48 | stop processing: n_tokens = 343, truncated = 0
0.39.128.312 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.131 (> 0.100 thold), f_keep = 0.155
0.39.132.210 I slot launch_slot_: id  0 | task 60 | processing task, is_child = 0
0.49.408.579 I slot print_timing: id  0 | task 60 | prompt eval time =    9721.63 ms /   351 tokens (   27.70 ms per token,    36.11 tokens per second)
0.49.408.583 I slot print_timing: id  0 | task 60 |        eval time =     554.66 ms /    11 tokens (   55.47 ms per token,    18.03 tokens per second)
0.49.408.583 I slot print_timing: id  0 | task 60 |       total time =   10276.29 ms /   362 tokens
0.49.408.583 I slot print_timing: id  0 | task 60 |    graphs reused =         55
0.49.408.888 I slot      release: id  0 | task 60 | stop processing: n_tokens = 414, truncated = 0
0.49.418.925 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.673 (> 0.100 thold), f_keep = 0.657
0.49.418.996 I slot launch_slot_: id  0 | task 72 | processing task, is_child = 0
0.53.878.276 I slot print_timing: id  0 | task 72 | prompt eval time =    3890.91 ms /   132 tokens (   29.48 ms per token,    33.93 tokens per second)
0.53.878.280 I slot print_timing: id  0 | task 72 |        eval time =     568.36 ms /    11 tokens (   56.84 ms per token,    17.59 tokens per second)
0.53.878.280 I slot print_timing: id  0 | task 72 |       total time =    4459.27 ms /   143 tokens
0.53.878.280 I slot print_timing: id  0 | task 72 |    graphs reused =         64
0.53.878.305 I slot      release: id  0 | task 72 | stop processing: n_tokens = 414, truncated = 0
0.53.886.593 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.804 (> 0.100 thold), f_keep = 0.785
0.53.886.625 I slot launch_slot_: id  0 | task 84 | processing task, is_child = 0
0.57.318.184 I slot print_timing: id  0 | task 84 | prompt eval time =    2526.09 ms /    79 tokens (   31.98 ms per token,    31.27 tokens per second)
0.57.318.188 I slot print_timing: id  0 | task 84 |        eval time =     905.46 ms /    11 tokens (   90.55 ms per token,    11.04 tokens per second)
0.57.318.188 I slot print_timing: id  0 | task 84 |       total time =    3431.55 ms /    90 tokens
0.57.318.188 I slot print_timing: id  0 | task 84 |    graphs reused =         73
0.57.318.249 I slot      release: id  0 | task 84 | stop processing: n_tokens = 414, truncated = 0
0.57.329.286 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.159 (> 0.100 thold), f_keep = 0.128
0.57.364.440 I slot launch_slot_: id  0 | task 96 | processing task, is_child = 0
1.00.437.824 I slot print_timing: id  0 | task 96 | prompt eval time =    2521.25 ms /    82 tokens (   30.75 ms per token,    32.52 tokens per second)
1.00.437.828 I slot print_timing: id  0 | task 96 |        eval time =     552.12 ms /    11 tokens (   55.21 ms per token,    18.11 tokens per second)
1.00.437.828 I slot print_timing: id  0 | task 96 |       total time =    3073.37 ms /    93 tokens
1.00.437.829 I slot print_timing: id  0 | task 96 |    graphs reused =         82
1.00.437.854 I slot      release: id  0 | task 96 | stop processing: n_tokens = 343, truncated = 0
1.00.443.891 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.191 (> 0.100 thold), f_keep = 0.184
1.00.457.613 I slot launch_slot_: id  0 | task 108 | processing task, is_child = 0
1.03.517.771 I slot print_timing: id  0 | task 108 | prompt eval time =    2512.55 ms /    82 tokens (   30.64 ms per token,    32.64 tokens per second)
1.03.517.774 I slot print_timing: id  0 | task 108 |        eval time =     547.60 ms /    11 tokens (   54.76 ms per token,    18.26 tokens per second)
