0.00.294.024 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.294.541 W srv  llama_server: -----------------
0.00.294.542 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.294.542 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.294.542 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.294.543 W srv  llama_server: -----------------
0.00.296.548 I srv    load_model: loading model '/Users/lgomezjuradogonzalez/Downloads/openai-hf/data/models/peer_claims_v3/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf'
0.05.231.257 I cmn          init: llama threadpool init, n_threads = 6
0.06.367.252 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.06.375.084 I srv  llama_server: model loaded
0.06.375.091 I srv  llama_server: listening on http://127.0.0.1:18973
1.08.191.847 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.08.191.886 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.20.673.977 I slot print_timing: id  0 | task 0 | prompt eval time =   12060.41 ms /   449 tokens (   26.86 ms per token,    37.23 tokens per second)
1.20.673.981 I slot print_timing: id  0 | task 0 |        eval time =     421.16 ms /    11 tokens (   42.12 ms per token,    23.74 tokens per second)
1.20.673.982 I slot print_timing: id  0 | task 0 |       total time =   12481.57 ms /   460 tokens
1.20.673.982 I slot print_timing: id  0 | task 0 |    graphs reused =         10
1.20.674.223 I slot      release: id  0 | task 0 | stop processing: n_tokens = 459, truncated = 0
1.20.677.232 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.743 (> 0.100 thold), f_keep = 0.824
1.20.677.262 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
1.34.236.663 I slot print_timing: id  0 | task 12 | prompt eval time =   13090.31 ms /   509 tokens (   25.72 ms per token,    38.88 tokens per second)
1.34.236.666 I slot print_timing: id  0 | task 12 |        eval time =     468.70 ms /    11 tokens (   46.87 ms per token,    21.34 tokens per second)
1.34.236.666 I slot print_timing: id  0 | task 12 |       total time =   13559.02 ms /   520 tokens
1.34.236.667 I slot print_timing: id  0 | task 12 |    graphs reused =         18
1.34.237.234 I slot      release: id  0 | task 12 | stop processing: n_tokens = 519, truncated = 0
1.34.241.514 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.166 (> 0.100 thold), f_keep = 0.162
1.34.251.504 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
1.48.252.428 I slot print_timing: id  0 | task 24 | prompt eval time =   13566.85 ms /   506 tokens (   26.81 ms per token,    37.30 tokens per second)
1.48.252.431 I slot print_timing: id  0 | task 24 |        eval time =     432.57 ms /    11 tokens (   43.26 ms per token,    23.12 tokens per second)
1.48.252.431 I slot print_timing: id  0 | task 24 |       total time =   13999.42 ms /   517 tokens
1.48.252.432 I slot print_timing: id  0 | task 24 |    graphs reused =         26
