0.00.208.198 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.209.311 W srv  llama_server: -----------------
0.00.209.312 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.209.312 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.209.312 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.209.312 W srv  llama_server: -----------------
0.00.210.893 I srv    load_model: loading model '/Users/lgomezjuradogonzalez/Downloads/openai-hf/data/models/peer_claims_v3/Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf'
0.05.731.935 I cmn          init: llama threadpool init, n_threads = 6
0.07.178.733 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.07.188.215 I srv  llama_server: model loaded
0.07.188.221 I srv  llama_server: listening on http://127.0.0.1:18973
0.07.375.697 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.07.375.733 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.177.320 I slot print_timing: id  0 | task 0 | prompt eval time =    9253.32 ms /   353 tokens (   26.21 ms per token,    38.15 tokens per second)
0.17.177.324 I slot print_timing: id  0 | task 0 |        eval time =     547.81 ms /    12 tokens (   49.80 ms per token,    20.08 tokens per second)
0.17.177.325 I slot print_timing: id  0 | task 0 |       total time =    9801.14 ms /   365 tokens
0.17.177.325 I slot print_timing: id  0 | task 0 |    graphs reused =         11
0.17.177.492 I slot      release: id  0 | task 0 | stop processing: n_tokens = 364, truncated = 0
0.17.181.947 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.725 (> 0.100 thold), f_keep = 0.797
0.17.181.982 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.27.792.294 I slot print_timing: id  0 | task 13 | prompt eval time =   10163.31 ms /   400 tokens (   25.41 ms per token,    39.36 tokens per second)
0.27.792.298 I slot print_timing: id  0 | task 13 |        eval time =     446.69 ms /    10 tokens (   49.63 ms per token,    20.15 tokens per second)
0.27.792.299 I slot print_timing: id  0 | task 13 |       total time =   10609.99 ms /   410 tokens
0.27.792.299 I slot print_timing: id  0 | task 13 |    graphs reused =         19
0.27.792.351 I slot      release: id  0 | task 13 | stop processing: n_tokens = 409, truncated = 0
0.27.794.513 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.329 (> 0.100 thold), f_keep = 0.281
0.27.799.272 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
0.37.212.693 I slot print_timing: id  0 | task 24 | prompt eval time =    8945.95 ms /   350 tokens (   25.56 ms per token,    39.12 tokens per second)
0.37.212.697 I slot print_timing: id  0 | task 24 |        eval time =     467.10 ms /    11 tokens (   46.71 ms per token,    21.41 tokens per second)
0.37.212.697 I slot print_timing: id  0 | task 24 |       total time =    9413.05 ms /   361 tokens
0.37.212.698 I slot print_timing: id  0 | task 24 |    graphs reused =         28
0.37.212.774 I slot      release: id  0 | task 24 | stop processing: n_tokens = 360, truncated = 0
0.37.214.249 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.287 (> 0.100 thold), f_keep = 0.319
0.37.222.975 I slot launch_slot_: id  0 | task 36 | processing task, is_child = 0
0.48.136.047 I slot print_timing: id  0 | task 36 | prompt eval time =   10484.67 ms /   400 tokens (   26.21 ms per token,    38.15 tokens per second)
