0.00.122.365 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.122.419 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.123.499 W srv  llama_server: -----------------
0.00.123.501 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.123.501 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.123.501 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.123.501 W srv  llama_server: -----------------
0.00.125.522 I srv    load_model: loading model '/Users/lgomezjuradogonzalez/Downloads/openai-hf/data/models/workflow_qwen3/qwen3-8b-Q4_K_M.gguf'
0.00.230.696 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.07.516.641 I cmn          init: llama threadpool init, n_threads = 6
0.08.989.900 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.09.000.305 I srv  llama_server: model loaded
0.09.000.314 I srv  llama_server: listening on http://127.0.0.1:18973
0.55.764.684 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.55.764.757 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.08.052.507 I slot print_timing: id  0 | task 0 | prompt eval time =   11841.01 ms /   431 tokens (   27.47 ms per token,    36.40 tokens per second)
1.08.052.510 I slot print_timing: id  0 | task 0 |        eval time =     446.22 ms /    11 tokens (   44.62 ms per token,    22.41 tokens per second)
1.08.052.511 I slot print_timing: id  0 | task 0 |       total time =   12287.23 ms /   442 tokens
1.08.052.511 I slot print_timing: id  0 | task 0 |    graphs reused =         10
1.08.052.727 I slot      release: id  0 | task 0 | stop processing: n_tokens = 441, truncated = 0
1.08.057.000 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.725 (> 0.100 thold), f_keep = 0.807
1.08.057.030 I slot launch_slot_: id  0 | task 12 | processing task, is_child = 0
1.21.540.387 I slot print_timing: id  0 | task 12 | prompt eval time =   12836.10 ms /   491 tokens (   26.14 ms per token,    38.25 tokens per second)
1.21.540.389 I slot print_timing: id  0 | task 12 |        eval time =     646.82 ms /    11 tokens (   64.68 ms per token,    15.46 tokens per second)
1.21.540.390 I slot print_timing: id  0 | task 12 |       total time =   13482.92 ms /   502 tokens
1.21.540.390 I slot print_timing: id  0 | task 12 |    graphs reused =         19
1.21.540.450 I slot      release: id  0 | task 12 | stop processing: n_tokens = 501, truncated = 0
1.21.542.643 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.127 (> 0.100 thold), f_keep = 0.124
1.21.553.435 I slot launch_slot_: id  0 | task 24 | processing task, is_child = 0
1.35.386.887 I slot print_timing: id  0 | task 24 | prompt eval time =   13208.02 ms /   488 tokens (   27.07 ms per token,    36.95 tokens per second)
1.35.386.891 I slot print_timing: id  0 | task 24 |        eval time =     624.93 ms /    11 tokens (   62.49 ms per token,    16.00 tokens per second)
1.35.386.891 I slot print_timing: id  0 | task 24 |       total time =   13832.96 ms /   499 tokens
1.35.386.892 I slot print_timing: id  0 | task 24 |    graphs reused =         28
1.35.387.128 I slot      release: id  0 | task 24 | stop processing: n_tokens = 498, truncated = 0
1.35.392.783 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.126 (> 0.100 thold), f_keep = 0.124
1.35.412.743 I slot launch_slot_: id  0 | task 36 | processing task, is_child = 0
1.49.081.966 I slot print_timing: id  0 | task 36 | prompt eval time =   13208.09 ms /   491 tokens (   26.90 ms per token,    37.17 tokens per second)
1.49.081.969 I slot print_timing: id  0 | task 36 |        eval time =     460.72 ms /    11 tokens (   46.07 ms per token,    21.71 tokens per second)
1.49.081.969 I slot print_timing: id  0 | task 36 |       total time =   13668.80 ms /   502 tokens
1.49.081.970 I slot print_timing: id  0 | task 36 |    graphs reused =         37
1.49.082.010 I slot      release: id  0 | task 36 | stop processing: n_tokens = 501, truncated = 0
1.49.084.088 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.145 (> 0.100 thold), f_keep = 0.124
1.49.102.561 I slot launch_slot_: id  0 | task 48 | processing task, is_child = 0
2.01.489.128 I slot print_timing: id  0 | task 48 | prompt eval time =   11628.51 ms /   428 tokens (   27.17 ms per token,    36.81 tokens per second)
2.01.489.132 I slot print_timing: id  0 | task 48 |        eval time =     757.55 ms /    11 tokens (   75.76 ms per token,    13.20 tokens per second)
2.01.489.132 I slot print_timing: id  0 | task 48 |       total time =   12386.06 ms /   439 tokens
2.01.489.132 I slot print_timing: id  0 | task 48 |    graphs reused =         46
2.01.489.382 I slot      release: id  0 | task 48 | stop processing: n_tokens = 438, truncated = 0
2.01.495.121 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.130 (> 0.100 thold), f_keep = 0.142
2.01.499.736 I slot launch_slot_: id  0 | task 60 | processing task, is_child = 0
2.15.594.011 I slot print_timing: id  0 | task 60 | prompt eval time =   13356.13 ms /   477 tokens (   28.00 ms per token,    35.71 tokens per second)
2.15.594.015 I slot print_timing: id  0 | task 60 |        eval time =     737.57 ms /    10 tokens (   81.95 ms per token,    12.20 tokens per second)
2.15.594.016 I slot print_timing: id  0 | task 60 |       total time =   14093.71 ms /   487 tokens
2.15.594.016 I slot print_timing: id  0 | task 60 |    graphs reused =         54
2.15.594.175 I slot      release: id  0 | task 60 | stop processing: n_tokens = 486, truncated = 0
2.15.597.492 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.234 (> 0.100 thold), f_keep = 0.208
2.15.643.459 I slot launch_slot_: id  0 | task 71 | processing task, is_child = 0
2.29.119.530 I slot print_timing: id  0 | task 71 | prompt eval time =   12423.92 ms /   431 tokens (   28.83 ms per token,    34.69 tokens per second)
2.29.119.533 I slot print_timing: id  0 | task 71 |        eval time =    1051.60 ms /    11 tokens (  105.16 ms per token,     9.51 tokens per second)
2.29.119.534 I slot print_timing: id  0 | task 71 |       total time =   13475.52 ms /   442 tokens
2.29.119.534 I slot print_timing: id  0 | task 71 |    graphs reused =         63
2.29.119.763 I slot      release: id  0 | task 71 | stop processing: n_tokens = 441, truncated = 0
2.29.125.298 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.127 (> 0.100 thold), f_keep = 0.141
2.29.153.263 I slot launch_slot_: id  0 | task 83 | processing task, is_child = 0
2.43.668.234 I slot print_timing: id  0 | task 83 | prompt eval time =   13849.03 ms /   488 tokens (   28.38 ms per token,    35.24 tokens per second)
2.43.668.237 I slot print_timing: id  0 | task 83 |        eval time =     665.44 ms /    11 tokens (   66.54 ms per token,    15.03 tokens per second)
2.43.668.238 I slot print_timing: id  0 | task 83 |       total time =   14514.47 ms /   499 tokens
2.43.668.238 I slot print_timing: id  0 | task 83 |    graphs reused =         72
2.43.668.504 I slot      release: id  0 | task 83 | stop processing: n_tokens = 498, truncated = 0
2.43.673.947 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.126 (> 0.100 thold), f_keep = 0.124
2.43.695.884 I slot launch_slot_: id  0 | task 95 | processing task, is_child = 0
2.58.446.889 I slot print_timing: id  0 | task 95 | prompt eval time =   13805.68 ms /   491 tokens (   28.12 ms per token,    35.57 tokens per second)
2.58.446.893 I slot print_timing: id  0 | task 95 |        eval time =     944.81 ms /    11 tokens (   94.48 ms per token,    10.58 tokens per second)
