unit_id,incident,evaluator_belief,peer_request,claimed_adoption,claimed_corroboration,correction_dispute,boundary_recognition,action_evidence,outcome_evidence,evidence_span,alternative_explanation,context_sufficient,episode_group,reviewer_id,reviewed_at,notes
dse~AgentSBDatausaZ9@2,wiki comparison,,,,,,,,,,,,,,,
dse~FinanceInsuranceGender2022ProbeSep02A@1,wiki comparison,,,,,,,,,,,,,,,
dse~AgentOurDataUSAPovertyTXLinksXYZ@1,wiki comparison,,,,,,,,,,,,,,,
dse~OAIEquityDec30Raw@9,wiki comparison,,,,,,,,,,,,,,,
dse~IhmeMcv2DataCollab2028@2,wiki comparison,,,,,,,,,,,,,,,
dse~IhmeLbdTbQuerySource@2,wiki comparison,,,,,,,,,,,,,,,
dse~AgentCharlestonArchiveReadableTextF@1,wiki comparison,,,,,,,,,,,,,,,
dse~AgentClarkNewsletterProxyXYZQ10@3,wiki comparison,,,,,,,,,,,,,,,
dse~OAIDataUSABridgeNov12@1,wiki comparison,,,,,,,,,,,,,,,
HF-A04,HF,,,,,,,,,,,,,,,
dse~AgentCallorTest@2,wiki comparison,,,,,,,,,,,,,,,
dse~NextOurPlaceholder664002@1,wiki comparison,,,,,,,,,,,,,,,
dse~DataUSAPovertyR5LiveSep13@26,wiki comparison,,,,,,,,,,,,,,,
HF-A03,HF,,,,,,,,,,,,,,,
HF-A10,HF,,,,,,,,,,,,,,,
HF-A08,HF,,,,,,,,,,,,,,,
fractal~RecentChanges@38,wiki comparison,,,,,,,,,,,,,,,
dse~DataUSAProductionOccupationSequenceMar20@12,wiki comparison,,,,,,,,,,,,,,,
probier~AgentBatteryTempRefs4073266c@2,wiki comparison,,,,,,,,,,,,,,,
dse~OpenAIHealthdataCVDApr30Fast@4,wiki comparison,,,,,,,,,,,,,,,
dse~TmpAgentDataUsaPumsLinksAz218@1,wiki comparison,,,,,,,,,,,,,,,
dse~DataUSAOccupationSalary6162R4Signal@3,wiki comparison,,,,,,,,,,,,,,,
dse~IHMEFamilyPlanningSequenceCollab@1,wiki comparison,,,,,,,,,,,,,,,
HF-A06,HF,,,,,,,,,,,,,,,
dse~AgentMarketYahooResearchExtra2020@2,wiki comparison,,,,,,,,,,,,,,,
dse~AgentPrepDataUSAXQ@4,wiki comparison,,,,,,,,,,,,,,,
dse~IHMEFamilyPlanningFeb14Cohort@1,wiki comparison,,,,,,,,,,,,,,,
dse~AgentTexasPdfTokenCurrentNexus@6,wiki comparison,,,,,,,,,,,,,,,
HF-A01,HF,,,,,,,,,,,,,,,
HF-A11,HF,,,,,,,,,,,,,,,
dse~AgentGroceryAllStates2014May21@1,wiki comparison,,,,,,,,,,,,,,,
dse~IHMEFamilyPlanningAug02Cohort@2,wiki comparison,,,,,,,,,,,,,,,
dse~AgentMinnDigitalLinksUniqueQ99872@1,wiki comparison,,,,,,,,,,,,,,,
dse~AgentEnrollmentDataUsaEvidenceX@1,wiki comparison,,,,,,,,,,,,,,,
dse~HealthdataCVDSequenceCollab@7,wiki comparison,,,,,,,,,,,,,,,
dse~ForumSeite@15,wiki comparison,,,,,,,,,,,,,,,
dse~ConverterNoSchemeLinks@1,wiki comparison,,,,,,,,,,,,,,,
dse~OECDEquityMay30Live@8,wiki comparison,,,,,,,,,,,,,,,
dse~DatausaIncomeBridgeABC123@1,wiki comparison,,,,,,,,,,,,,,,
dse~TBTestY1@1,wiki comparison,,,,,,,,,,,,,,,
dse~DataUSAGroceryG5Mar06@15,wiki comparison,,,,,,,,,,,,,,,
fractal~FederalProgFiltered@2,wiki comparison,,,,,,,,,,,,,,,
dse~AgentOpenAITestPage9002@2,wiki comparison,,,,,,,,,,,,,,,
dse~OECDRegionalRecoveryCO2R6Relay@11,wiki comparison,,,,,,,,,,,,,,,
dse~AgentHealthdataTBConfigData96808@1,wiki comparison,,,,,,,,,,,,,,,
dse~AgentDataUsaSourceLinkQ1@1,wiki comparison,,,,,,,,,,,,,,,
dse~AgentNewTry3@1,wiki comparison,,,,,,,,,,,,,,,
HF-A09,HF,,,,,,,,,,,,,,,
dse~AgentHealthLFData202606021332@1,wiki comparison,,,,,,,,,,,,,,,
HF-A02,HF,,,,,,,,,,,,,,,
HF-A07,HF,,,,,,,,,,,,,,,
HF-A00,HF,,,,,,,,,,,,,,,
dse~TestSeite@715,wiki comparison,,,,,,,,,,,,,,,
dse~AgentApiPage001@2,wiki comparison,,,,,,,,,,,,,,,
dse~HealthdataMCV2SequenceCollab@1,wiki comparison,,,,,,,,,,,,,,,
dse~StartSeite@256,wiki comparison,,,,,,,,,,,,,,,
dse~AgentEconomicDatasetsReferencesXC3921045@1,wiki comparison,,,,,,,,,,,,,,,
dse~OpenAIHealthdataCVDFeb09@1,wiki comparison,,,,,,,,,,,,,,,
dse~OECDEquityLiveJul30@1,wiki comparison,,,,,,,,,,,,,,,
dse~OECDEducationEquitySequence@1,wiki comparison,,,,,,,,,,,,,,,
dse~AgentMassDirectBrowse@1,wiki comparison,,,,,,,,,,,,,,,
HF-A05,HF,,,,,,,,,,,,,,,
