0.00.075.096 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.075.251 W srv  llama_server: -----------------
0.00.075.253 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.075.253 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.075.254 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.075.254 W srv  llama_server: -----------------
0.00.076.618 I srv    load_model: loading model '/Users/lauragomez/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct-GGUF/snapshots/bb5d59e06d9551d752d08b292a50eb208b07ab1f/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf'
0.00.142.562 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.02.621.345 I cmn          init: llama threadpool init, n_threads = 6
0.04.087.148 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 6144, kv_unified = 'false'
0.04.089.923 I srv  llama_server: model loaded
0.04.089.931 I srv  llama_server: listening on http://127.0.0.1:18973
0.14.768.808 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.768.862 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.41.326.057 I slot print_timing: id  0 | task 0 | prompt eval time =   25994.69 ms /  1042 tokens (   24.95 ms per token,    40.09 tokens per second)
0.41.326.060 I slot print_timing: id  0 | task 0 |        eval time =     562.47 ms /    12 tokens (   51.13 ms per token,    19.56 tokens per second)
0.41.326.060 I slot print_timing: id  0 | task 0 |       total time =   26557.16 ms /  1054 tokens
0.41.326.060 I slot print_timing: id  0 | task 0 |    graphs reused =         11
0.41.326.650 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1053, truncated = 0
0.41.336.553 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.158 (> 0.100 thold), f_keep = 0.118
0.41.346.057 I slot launch_slot_: id  0 | task 13 | processing task, is_child = 0
0.59.405.169 I slot print_timing: id  0 | task 13 | prompt eval time =   17497.78 ms /   659 tokens (   26.55 ms per token,    37.66 tokens per second)
0.59.405.172 I slot print_timing: id  0 | task 13 |        eval time =     561.32 ms /    12 tokens (   51.03 ms per token,    19.60 tokens per second)
